archivo,title,description,summary,activity_code
"midiendo-el-clima.md","Midiendo el clima","Aprende cómo se mide el clima, qué instrumentos se utilizan y cómo los datos se usan para predecir cambios climáticos.","Investigar instrumentos y métodos para medir el clima.","cambioclimatico-A12"
"la-verdad-sobre-los-germenes.md","La Verdad sobre los Gérmenes","Investiga qué son los gérmenes, cómo se propagan y cómo protegernos de enfermedades infecciosas.","Investigación sobre gérmenes y enfermedades.","nutricion-A12"
"el-agua-es-poesia.md","El Agua es Poesía","Los participantes reflexionan sobre el agua y su conexión con la salud y la felicidad a través de la creación de poemas inspirados en este elemento vital.","Escribe un poema sobre el agua.","agua-D31"
"respuesta-ante-desastres.md","Respuesta ante desastres","Investiga desastres relacionados con el tiempo y cómo responder.","Preparación ante desastres climáticos.","sacc-C12"
"el-barquito-chiquitito.md","El Barquito Chiquitito","Reescribe la letra de una canción para difundir un mensaje sobre el agua.","Creación de canciones sobre el agua.","agua-D04"
"todo-sobre-la-acuicultura.md","Todo sobre la Acuicultura","Investiga y presenta información sobre la acuicultura, sus beneficios y desventajas.","Investigación y presentación sobre acuicultura.","oceano-C08"
"explorando-fuentes-contaminacion.md","Explorando Fuentes de Contaminación","Los participantes exploran el entorno de su escuela o lugar de reunión para identificar posibles fuentes de contaminación puntuales y no puntuales que afectan su cuenca.","Identifica fuentes de contaminación en tu entorno.","agua-C37"
"promesa-del-agua-agua.md","Promesa del Agua","Los participantes reflexionan sobre el uso del agua y crean un cartel con una promesa grupal para conservar el agua, comprometiéndose a usar este recurso de manera responsable.","Crea una promesa grupal para conservar el agua.","agua-B31"
"el-destino-de-los-bosques.md","El Destino de los Bosques","Investiga la cubierta forestal de cada continente y cuánto ha perdido. Crea un póster sobre tus hallazgos.","Investigación sobre pérdida de bosques por continente.","bosques-D05"
"auditoria-de-papel-en-la-escuela.md","Auditoría de papel en la escuela","Averigua cuánto papel se usa en tu escuela y reduce su consumo.","Auditoría de papel escolar.","sacc-A25"
"habitos-animales.md","Hábitos Animales","Observa cómo los animales interactúan con el suelo y presenta tus hallazgos.","Observación de animales y suelo.","suelos-B07"
"se-hidrologico.md","Sé Hidrológico","Los participantes crean carteles con forma de gota de agua con ideas para ahorrar agua, y los colocan en lugares estratégicos para educar a otros sobre el uso responsable del agua.","Crea carteles para ahorrar agua.","agua-E43"
"juego-a-donde-va-el-agua.md","Juego ¿A Dónde Va el Agua?","Los participantes crean y juegan un juego de mesa para aprender cómo las acciones cotidianas pueden ayudar o dañar un cuerpo de agua.","Juego de mesa sobre el cuidado del agua.","agua-C33"
"descubre-los-alimentos-enriquecidos.md","Descubre los Alimentos Enriquecidos","Investiga qué alimentos enriquecidos se producen en tu país y para qué sirven.","Investigación sobre alimentos enriquecidos.","nutricion-B15"
"animales-activos.md","Animales Activos","Juego divertido para moverse más asignando movimientos de animales a cada participante.","Juego de movimiento con animales.","nutricion-A03"
"mira-las-etiquetas.md","Mira las Etiquetas","Investiga etiquetas de sostenibilidad en productos y promueve el consumo responsable.","Análisis de etiquetas de sostenibilidad.","nutricion-D12"
"cancion-viento-o-sol.md","Canción de viento o sol","Crea una canción sobre energía eólica usando la melodía de 'Blowing in the Wind' o sobre energía solar con 'Here Comes the Sun'.","Canta sobre energías renovables.","energia-B04"
"habito-verde.md","Hábito verde","Compromiso de 21 días para adoptar un hábito sostenible y evaluar su impacto en tu estilo de vida.","Adoptar un hábito sostenible por 21 días.","ciudadesverdes-D05"
"investiguen-las-etiquetas-de-los-alimentos.md","Investiguen las Etiquetas de los Alimentos","Investiga la información nutricional de diferentes alimentos y crea una tabla para compartir.","Análisis de etiquetas nutricionales.","nutricion-B07"
"encuesta-sobre-reciclaje.md","Encuesta sobre reciclaje en tu comunidad","Realiza una encuesta a al menos 100 personas sobre sus hábitos de reciclaje y presenta tus hallazgos a las autoridades locales.","Investiga los hábitos de reciclaje de tu comunidad.","plastics-B07"
"debate-energetico.md","Debate energético","Investiga y debate sobre la mejor manera de proporcionar energía sostenible para todos, considerando diferentes perspectivas y soluciones.","Debate sobre el futuro de la energía.","energia-E02"
"nuestro-oceano.md","Nuestro Océano","Investiga datos clave sobre el océano o mar más cercano a tu lugar de residencia y elabora una prueba para tu grupo.","Investigación sobre el océano local.","oceano-A01"
"el-suelo-y-la-salud.md","El Suelo y la Salud","Investiga y crea un póster sobre la conexión entre el suelo y la salud humana.","Conexión entre suelo y salud humana.","suelos-B02"
"genero-y-cambio-climatico.md","Género y cambio climático","Investiga cómo el cambio climático afecta de manera diferente a hombres y mujeres.","Género y vulnerabilidad climática.","sacc-B16"
"la-belleza-esta-en-el-ojo-del-que-mira.md","La belleza está en el ojo del que mira","Concientización sobre el desperdicio de frutas y verduras 'feas' y promoción de su consumo para reducir el desperdicio.","Promover el consumo de frutas y verduras 'feas'.","ciudadesverdes-D03"
"explicacion-multisensorial.md","Explicación multisensorial","Creación de una explicación de la biodiversidad usando múltiples sentidos para hacerla accesible y memorable.","Explicar biodiversidad con múltiples sentidos.","biodiversidad-D12"
"observacion-de-hormigas.md","Observación de hormigas","Observación regular de una colonia de hormigas para entender su comportamiento y su papel en el ecosistema.","Observar colonias de hormigas.","biodiversidad-C20"
"menos-basura-bosques.md","","","",""
"manteniendose-frescos-o-calientes-en-el-pasado.md","Manteniéndose frescos o calientes en el pasado","Investigación sobre métodos tradicionales para mantenerse fresco o caliente sin usar energía, aprendiendo de las prácticas del pasado.","Investigar métodos tradicionales de climatización.","cambioclimatico-D08"
"dibujos-polvorientos.md","Dibujos Polvorientos","Crea pinturas con suelo y haz dibujos con diferentes colores y texturas.","Pintura con suelo.","suelos-B06"
"conectate-con-tu-comunidad.md","Conéctate con tu Comunidad","Crea un blog, red social o boletín informativo sobre RRD para tu comunidad.","Medios comunitarios sobre RRD.","rrd-D06"
"clima-y-estilos-de-vida.md","Clima y estilos de vida","Investigación sobre cómo el clima afecta la calidad de vida, los viajes, la recreación y el bienestar general.","Explorar cómo el clima influye en la calidad de vida.","cambioclimatico-A14"
"energia-hidroelectrica.md","Energía Hidroeléctrica","Construye un molino de agua para entender cómo funciona la energía hidroeléctrica.","Construcción de molino de agua.","agua-B06"
"se-voluntario-en-una-organizacion-comunitaria.md","Sé Voluntario en una Organización Comunitaria","Únete como voluntario a una organización comunitaria que trabaje en temas de nutrición.","Voluntariado en nutrición comunitaria.","nutricion-E11"
"comparte-y-reusa.md","Comparte y reusa","Comparte y reusa tus pertenencias cuando ya no las necesites.","Compartir y reusar pertenencias.","sacc-A27"
"pista-de-obstaculos-del-hambre.md","Pista de Obstáculos del Hambre","Crea estaciones con diferentes problemas de hambre y busca soluciones en grupo.","Simulación de problemas y soluciones del hambre.","hambre-D06"
"sin-agua-corriente-casa.md","Sin Agua Corriente en Casa","Los participantes reflexionan sobre cómo sería la vida sin agua corriente, planificando con su familia cómo recolectar y usar agua de manera limitada.","Reflexiona sobre la vida sin agua corriente.","agua-D36"
"alimentos-sedientos.md","Alimentos Sedientos","Investiga cuánta agua se necesita para producir diferentes alimentos.","Huella hídrica de los alimentos.","agua-B04"
"descubrimiento-monumental.md","Descubrimiento monumental","Exploración de un monumento o sitio patrimonial de tu ciudad para aprender sobre su historia y su importancia cultural.","Explorar un monumento o sitio patrimonial.","ciudadesverdes-A06"
"construi-un-modelo.md","Construí un modelo","Construcción de una maqueta de tu vecindario usando materiales creativos para representar sus elementos urbanos y naturales.","Construir una maqueta de tu vecindario.","ciudadesverdes-A04"
"haz-tu-propio-compost.md","Haz tu propio compost","Creación de un compost casero para reducir residuos orgánicos y mantener saludable el jardín.","Crear compost casero.","cambioclimatico-E09"
"patrones-de-corteza.md","Patrones de Corteza","Visita un arboreto y calca las cortezas de los tres árboles más inusuales. Etiqueta cada árbol con su nombre y origen.","Calcos de cortezas de árboles.","bosques-A05"
"deja-la-botella.md","Deja la Botella","Investiga si el agua del grifo es segura y haz una campaña para cambiar del agua embotellada al agua del grifo.","Campaña contra el agua embotellada.","agua-E06"
"dulces-suenos.md","Dulces Sueños","Registra tu patrón de sueño y analiza la calidad de tu descanso para mejorarlo.","Análisis de hábitos de sueño.","nutricion-A06"
"paisajes-en-peligro.md","Paisajes en Peligro","Crea un modelo de un paisaje agrícola con desastres naturales y soluciones para proteger los cultivos.","Modelo de paisaje agrícola con desastres naturales.","hambre-C03"
"diversion-con-agua.md","Diversión con agua","Los participantes realizan diferentes actividades divertidas con agua para aprender que el agua es esencial para todos los seres vivos.","Aprende sobre la importancia del agua jugando.","agua-A31"
"comida-solar.md","Una comida solar","Utiliza la cocina/horno solar para cocinar en tu grupo, aprendiendo métodos de cocción más sustentables mientras preparas alimentos.","Cocina una comida con energía solar.","gosolar-D01"
"desafio-libre-de-electronicos.md","Desafío libre de electrónicos","Desafío mensual para reducir el uso de dispositivos electrónicos y realizar actividades sin electricidad.","Reducir el uso de electrónicos.","cambioclimatico-E11"
"amenazas-locales.md","Amenazas locales","Investigación de las amenazas a los polinizadores locales y desarrollo de un plan de acción para abordar la más importante.","Identificar y abordar amenazas a polinizadores locales.","polinizadores-C01"
"el-paisaje-sonoro-del-bosque.md","El Paisaje Sonoro del Bosque","Visita un bosque y graba sonidos bióticos y abióticos. Crea una mezcla y compártela con tu grupo.","Grabación y mezcla de sonidos del bosque.","bosques-A23"
"comunicacion-alternativa.md","Comunicación Alternativa","Diseña estrategias de comunicación creativas para difundir el mensaje de acabar con el hambre.","Estrategias creativas contra el hambre.","hambre-E02"
"mejora-tu-dieta-con-la-biodiversidad.md","Mejora tu Dieta con la Biodiversidad","Descubre y prueba diferentes variedades de frutas y verduras para diversificar tu dieta.","Diversificación de la dieta con biodiversidad.","nutricion-D11"
"sed-continental.md","Sed Continental","Investiga la situación hídrica de diferentes continentes y países.","Investigación sobre situación hídrica por continentes.","agua-C06"
"fondos-para-los-bosques.md","","","",""
"diversion-congelada.md","Diversión congelada","Los participantes realizan experimentos con agua y hielo para descubrir las propiedades únicas del agua al congelarse y cómo esto afecta al planeta.","Experimentos divertidos con agua y hielo.","agua-A42"
"listo-para-un-terremoto.md","Listo para un Terremoto","Visita un edificio a prueba de terremotos y aprende sobre sus características de seguridad.","Visita a un edificio resistente a terremotos.","rrd-B07"
"esculpir-un-desastre.md","Esculpir un Desastre","Talla una escultura en un pedazo de madera usando como inspiración un desastre. Usa madera recuperada de desastres o de fuentes sostenibles.","Creación de una escultura inspirada en un desastre natural.","bosques-C14"
"comparti-una-habilidad-verde.md","Día 'Compartí una habilidad verde'","Organización de un día para compartir habilidades verdes entre la comunidad y aprender unos de otros.","Organizar un día para compartir habilidades verdes.","ciudadesverdes-D07"
"empleos-forestales.md","Empleos Forestales","Enumera empleos que dependen de los bosques. Juega un juego de adivinanzas imitando los empleos.","Juego de adivinanzas sobre empleos forestales.","bosques-B04"
"filmando-la-costa.md","Filmando la Costa","Crea un video corto sobre el área costera, sus características, plantas, animales y desafíos de conservación.","Video sobre la costa.","oceano-B09"
"cientificos-incipientes.md","Científicos incipientes","Actividad para explorar diferentes carreras científicas relacionadas con el clima y descubrir qué tipo de científico te gustaría ser.","Descubrir carreras científicas relacionadas con el clima.","cambioclimatico-A06"
"ahorra-agua-en-casa-y-escuela.md","Ahorra agua en casa y escuela","Piensa y dibuja formas de ahorrar agua en tu casa y escuela.","Ideas para ahorrar agua.","sacc-A14"
"crea-un-zumbido.md","Creá un zumbido","Organización de un evento para el Día Mundial de las Abejas (20 de mayo) con demostraciones y acciones concretas para proteger polinizadores.","Organizar un evento por el Día Mundial de las Abejas.","polinizadores-D01"
"donde-esta-el-agua.md","¿Dónde está el agua?","Dibuja un mapa mundial mostrando la distribución del agua dulce en el mundo.","Mapa de distribución mundial del agua.","agua-A17"
"taller-ambiental.md","Taller ambiental","Organización y dirección de un taller sobre un tema ambiental para familias y amigos.","Organizar un taller ambiental.","biodiversidad-D25"
"el-gran-debate-sobre-el-clima.md","El gran debate sobre el clima","Actividad de debate para entender y responder a los puntos de vista de los escépticos del clima.","Debatir sobre el cambio climático y los escépticos.","cambioclimatico-B11"
"manualidad-mosaico-tapas.md","Manualidad de mosaico de tapas de botella","Una actividad creativa que fomenta la reutilización de tapas de botellas de plástico para crear mosaicos artísticos, promoviendo la conciencia sobre el reciclaje y la reducción de residuos.","Crea mosaicos con tapas de botellas de plástico reutilizadas.","plastics-P04"
"tiempo-de-descomposicion.md","Tiempo de descomposición","Averigua cuánto tiempo tarda la basura en descomponerse.","Investigación sobre descomposición de basura.","sacc-A31"
"pesquerias-utiles.md","Pesquerías Útiles","Los participantes exploran los múltiples beneficios que los seres humanos reciben de las pesquerías, desde alimentos hasta empleos, medicinas y recreación.","Explora los beneficios de las pesquerías.","agua-B37"
"agua-por-todas-partes.md","Agua por todas partes","Los participantes reflexionan sobre la cantidad de agua dulce disponible en la Tierra y aprenden sobre la distribución del agua en el planeta.","Descubre cuánta agua dulce hay realmente en el mundo.","agua-A32"
"cientificos-nadadores.md","Científicos Nadadores","Observa la vida bajo el agua nadando en un río, lago o mar.","Observación subacuática de la vida marina.","agua-A18"
"mensaje-de-video.md","Mensaje de Video","Graba un video para difundir un mensaje sobre la importancia de acabar con el hambre.","Creación de video sobre el hambre.","hambre-E03"
"crucigrama-uso-agua.md","Crucigrama del Uso del Agua","Los participantes resuelven un crucigrama para descubrir datos interesantes sobre el uso del agua y el agua oculta en los productos que consumen.","Resuelve un crucigrama sobre el uso del agua.","agua-B39"
"tira-comica-sobre-el-carbon.md","Tira Cómica sobre el Carbón","Descubre cómo partes de un bosque se transformaron en carbón. Crea una tira cómica o novela gráfica explicando el proceso.","Tira cómica sobre la formación del carbón.","bosques-A25"
"frutos-del-mar-sostenibles.md","Frutos del Mar Sostenibles","Aprende sobre productos del mar sostenibles y anima a tu familia a comprarlos.","Consumo responsable de productos del mar.","oceano-E04"
"curso-intensivo-cultural.md","Curso Intensivo Cultural","Investiga el significado cultural del agua en diferentes regiones del mundo.","Significado cultural del agua.","agua-A19"
"debate-amp.md","Debate AMP","Debate sobre la creación de un Área Marina Protegida en tu playa local, representando diferentes roles.","Debate sobre Áreas Marinas Protegidas.","oceano-D09"
"adaptaciones-a-ambientes-secos.md","Adaptaciones a ambientes secos","Investigación de modificaciones inusuales que plantas y animales han desarrollado para adaptarse a ambientes con escasez de agua.","Investigar adaptaciones a la sequía.","biodiversidad-B22"
"presentacion-sobre-habitos-sostenibles.md","Presentación sobre hábitos sostenibles","Haz una presentación sobre hábitos amigables con el medio ambiente.","Presentación sobre sostenibilidad.","sacc-C20"
"colecta-de-dinero.md","Haz una Colecta de Dinero","Organiza un evento para recaudar fondos para niños afectados por desastres.","Recaudación de fondos para niños en desastres.","rrd-D07"
"alimentos-vs-combustibles.md","Alimentos vs combustibles","Investiga el debate sobre biocombustibles vs. seguridad alimentaria, y realiza un debate con tu grupo sobre este tema controvertido.","Debate sobre biocombustibles y alimentos.","energia-B12"
"dibujos-cadena-alimentaria.md","Dibujos de la cadena alimentaria","Investiga las cadenas y redes alimentarias de tu área local y dibújalas. Conecta tu comida favorita con los productores y el ciclo del carbono.","Explora las cadenas alimentarias locales.","energia-A02"
"aventura-de-planificacion-urbana.md","Aventura de planificación urbana","Investigación sobre planificación urbana para aprender cómo los diseñadores construyen ciudades sostenibles.","Aprender sobre planificación urbana.","ciudadesverdes-C08"
"cual-es-tu-posicion.md","¿Cuál es tu posición sobre...?","Los participantes exploran sus actitudes, valores y perspectivas sobre sostenibilidad y naturaleza, posicionándose en una línea según su nivel de acuerdo con afirmaciones.","Explora tus valores sobre sostenibilidad.","cfn-A07"
"bosques-alrededor-del-mundo.md","Bosques Alrededor del Mundo","Aprende cómo decir 'bosque' y 'árbol' en diez idiomas diferentes. En un mapa del mundo, escribe las palabras en cada país.","Investigación lingüística sobre palabras para bosque y árbol.","bosques-C06"
"los-colores-del-agua.md","Los Colores del Agua","Fotografía diferentes tipos de agua y los colores que puede tener.","Fotografía de los colores del agua.","agua-A12"
"fiesta-de-mascaras-marinas.md","Fiesta de máscaras marinas","Organización de una fiesta de máscaras con disfraces de animales marinos para aprender sobre especies oceánicas.","Celebrar una fiesta de máscaras marinas.","biodiversidad-B24"
"construye-un-pozo.md","Construye un Pozo","Investiga organizaciones benéficas de agua y organiza una recaudación de fondos para un proyecto.","Recaudación de fondos para proyectos de agua.","agua-E04"
"deforestacion-y-degradacion.md","Deforestación y Degradación","Investiga qué porción de tu país está cubierta por bosques y cuál es la tasa de deforestación. Comparte tus hallazgos de forma creativa.","Investigación sobre deforestación y degradación forestal.","bosques-D09"
"calentamiento-de-la-tierra.md","Calentamiento de la Tierra","Experimento para ver cómo diferentes superficies (suelo, arena, agua) absorben y retienen el calor del Sol.","Descubre qué superficies se calientan más con el Sol.","energia-A11"
"reduce-tu-huella-de-cambio-climatico.md","Reduce tu huella de cambio climático","Reflexiona sobre tu impacto ambiental y haz un plan para reducirlo.","Plan de reducción de huella de carbono.","sacc-A02"
"cuidemos-nuestro-medio-ambiente.md","Cuidemos nuestro medio ambiente","Discute cómo consumes energía y haz un plan para reducirla.","Plan de reducción de energía.","sacc-A01"
"los-bosques-y-el-cambio-climatico.md","Los Bosques y el Cambio Climático","Investiga qué gases estaban presentes en la atmósfera históricamente y compáralos con los actuales. Comparte tus hallazgos con tu grupo.","Investigación sobre gases atmosféricos y cambio climático.","bosques-D12"
"arboles-energeticos.md","Árboles Energéticos","Investiga de qué formas se usan los recursos forestales como fuentes de energía. Crea un mini-modelo de tu invención energética.","Investigación sobre energía forestal y creación de un modelo.","bosques-B10"
"es-dificil-pasarse-del-h2o.md","Es Difícil Pasarse del H₂O","Experimenta un día sin usar agua para entender la realidad de quienes no tienen acceso.","Desafío de un día sin usar agua.","agua-B02"
"es-verde-tu-escuela.md","¿Es verde tu escuela?","Evaluación de la sostenibilidad de tu escuela en áreas como huella de carbono, reciclaje y desperdicio de alimentos.","Evaluar la sostenibilidad de tu escuela.","ciudadesverdes-B06"
"medios-sociales.md","Medios Sociales","Usa las redes sociales para crear conciencia sobre los suelos.","Campaña en redes sociales sobre el suelo.","suelos-D11"
"el-cuerpo-humano-y-la-comida.md","El Cuerpo Humano y la Comida","Crea un póster del cuerpo humano etiquetando qué alimentos son buenos para cada parte del cuerpo.","Póster sobre alimentos y partes del cuerpo.","nutricion-B08"
"guardabosques.md","Guardabosques","Haz una entrevista a un guardabosques o guarda parques. Comparte los hallazgos con tu grupo.","Entrevista a un guardabosques.","bosques-B06"
"plantacion-de-arboles.md","Aprendamos sobre la plantación de árboles","Los participantes visitan un vivero de árboles, invernadero o jardín para aprender sobre el cultivo y la plantación de árboles, y el proceso de reforestación.","Aprende a plantar árboles.","cfn-B08"
"inventa-un-juego-o-juguete.md","Inventa un juego o juguete","Inventa un juego o juguete con materiales naturales o reciclados.","Juego o juguete reciclado.","sacc-C16"
"participa-en-el-plan-de-tu-ciudad.md","Participá en el plan de tu ciudad","Participación activa en la planificación de la ciudad a través de consejos juveniles, municipios y redes sociales.","Participar en la planificación de tu ciudad.","ciudadesverdes-D08"
"ciudadano-del-agua.md","Ciudadano del Agua","Escribe a tu representante de gobierno sobre un tema del agua que te preocupa.","Carta a representante sobre temas del agua.","agua-E07"
"filtros-de-agua-naturales.md","Filtros de agua naturales","Investigación de especies filtradoras y construcción de un filtro de agua con materiales naturales o reciclados.","Construir un filtro de agua natural.","biodiversidad-B10"
"adopta-un-area-natural.md","Adopta un área natural","Adopción y limpieza de un área natural para hacer un inventario de su biodiversidad y dependencias entre especies.","Adoptar y limpiar un área natural.","biodiversidad-C29"
"aventuras-gota-agua.md","Las Aventuras de una Gota de Agua","Los participantes crean una historia creativa sobre el viaje de una gota de agua a través del ciclo del agua, mostrando cómo se mueve entre diferentes estados y lugares.","Crea la historia de una gota de agua.","agua-B42"
"inspiracion-literaria.md","Inspiración Literaria","Lee poemas, historias u obras de teatro sobre los bosques. Comparte tus respuestas y escribe tu propia obra inspirada en el bosque.","Análisis y creación literaria inspirada en bosques.","bosques-C08"
"entrevista-con-un-experto.md","Entrevista con un Experto","Entrevista a autoridades locales sobre seguridad alimentaria y nutrición en tu comunidad.","Entrevista sobre seguridad alimentaria.","nutricion-C08"
"impactos-sociales.md","Impactos sociales de la energía","Investiga los impactos sociales positivos y negativos de una planta de energía en una comunidad local o de otro país.","Descubre cómo la energía afecta a las comunidades.","energia-D10"
"corre-que-te-cazo.md","Corre que te cazo","Juego dinámico para entender cómo el cambio climático afecta a los osos polares y su capacidad para alimentarse.","Juego para entender el impacto en osos polares.","cambioclimatico-C03"
"evento-benefico.md","Evento benéfico","Organiza una carrera, concierto o bazar para recaudar fondos ambientales.","Evento benéfico ambiental.","sacc-C29"
"grupo-de-investigacion.md","Grupo de investigación","Diseña y lleva a cabo tu propio grupo de investigación sobre el cambio climático.","Grupo de investigación climática.","sacc-C11"
"cuidado-con-lo-que-desperdicias.md","Cuidado con lo que Desperdicias","Vigila el desperdicio de comida en tu casa durante una semana y busca formas de reducirlo.","Auditoría de desperdicio de alimentos.","nutricion-D02"
"bioevaluacion-macroinvertebrados.md","Bioevaluación de macroinvertebrados","Los participantes simulan una bioevaluación de un arroyo usando objetos para representar macroinvertebrados y determinar la calidad del agua.","Simula una evaluación de la calidad del agua.","agua-A47"
"educa-a-tu-comunidad.md","Educa a tu Comunidad","Inicia un programa educativo sobre dietas sanas para tu comunidad con talleres y charlas.","Programa educativo sobre nutrición.","nutricion-E09"
"inventen-un-juego-nutricion.md","Inventen un Juego","Crea un juego educativo sobre nutrientes y grupos alimenticios para compartir con tu familia y amigos.","Creación de juego educativo sobre nutrición.","nutricion-B05"
"polinizadores.md","Polinizadores","Investigación sobre los vínculos entre la vida aérea y los alimentos, visitando un colmenar o invitando a un apicultor.","Investigar polinizadores y su importancia.","biodiversidad-A18"
"perdiendo-biodiversidad.md","Perdiendo Biodiversidad","Elige tu animal favorito del bosque entre aquellos que están enfrentando la extinción y haz un póster para describir su situación actual y cómo podría ser protegido.","Investigación sobre un animal en peligro de extinción.","bosques-D02"
"algunos-objetivos-azules.md","Algunos Objetivos Azules","Los participantes investigan los Objetivos de Desarrollo del Milenio (ODM) y su relación con el agua y el saneamiento, presentando sus hallazgos al grupo.","Investiga los ODM y el agua.","agua-D49"
"perdidas-y-ganancias-del-cultivo.md","Pérdidas y Ganancias del Cultivo","Visita una granja local para aprender sobre el mantenimiento de suelos fértiles.","Visita a una granja para aprender sobre el suelo.","suelos-A09"
"operacion-contra-la-basura.md","Operación contra la basura","Los jóvenes realizan una encuesta comunitaria para identificar las causas del comportamiento de tirar basura, entrevistando a personas de diferentes edades y analizando los factores que contribuyen a este problema ambiental.","Investiga las causas del comportamiento de tirar basura.","plastics-P19"
"en-sus-zapatos.md","En Sus Zapatos","Ayuna durante un día completo para experimentar el hambre y reflexionar sobre la experiencia de quienes no tienen certeza de cuándo volverán a comer.","Experiencia de ayuno para comprender el hambre.","hambre-A12"
"alimentos-extranjeros.md","Alimentos Extranjeros","Investiga recetas de otros países y cocina una comida. Compara los ingredientes y la nutrición con los platos típicos de tu país.","Investigación y cocina de recetas internacionales.","hambre-A05"
"empuje-del-viento.md","Empuje del viento","Observa cómo el viento ayuda a diferentes organismos, vuela una cometa y haz un molinillo para entender la energía del viento.","Explora la fuerza del viento en la naturaleza.","energia-A03"
"historieta-sobre-el-hambre.md","Historieta sobre el Hambre","Crea una historieta sobre un aventurero que descubre las diferencias entre la vida de ricos y pobres.","Creación de una historieta sobre el hambre.","hambre-C09"
"informe-de-prensa.md","Informe de Prensa","Haz una entrevista a una persona indígena sobre un desafío que enfrente su pueblo con relación a los bosques. Escribe un reportaje o crea un show de radio.","Entrevista a una persona indígena sobre desafíos forestales.","bosques-C18"
"escasez-de-agua.md","Escasez de Agua","Los participantes investigan el uso del agua en diferentes países y simulan la distribución desigual del agua para comprender el problema de la escasez de agua en el mundo.","Investiga la escasez de agua en el mundo.","agua-C46"
"bolsa-reutilizable.md","Bolsa reutilizable","Usa una bolsa reutilizable en lugar de fundas plásticas.","Uso de bolsa reutilizable.","sacc-A26"
"visita-al-mercado-local-fibras.md","Visita al mercado local - fibras","Visita un mercado local para aprender sobre productos y textiles locales e importados.","Investigación de productos locales e importados.","sacc-C02"
"si-si-no.md","Sí, Sí No","Analiza cómo el cumplimiento o incumplimiento de cada ODM afecta la erradicación del hambre.","Análisis de los ODM y su impacto en el hambre.","hambre-D08"
"vida-marina.md","Vida Marina","Investiga la vida marina y crea un dibujo, collage o modelo de la vida bajo el agua.","Investigación y arte sobre vida marina.","oceano-B01"
"yoga-animal.md","Yoga animal","Clase de yoga imitando los movimientos de diferentes animales para aprender sobre sus formas de movimiento.","Practicar yoga imitando animales.","biodiversidad-D19"
"comida-sin-polinizadores.md","Comida sin polinizadores","Creación de un menú semanal sin alimentos que dependan de polinizadores para reflexionar sobre su importancia.","Crear un menú sin alimentos polinizados.","polinizadores-C03"
"fuerzas-locales.md","Fuerzas locales","Contacto con las autoridades ambientales locales para conocer sus acciones en protección de polinizadores y proponer mejoras.","Involucrarse con autoridades ambientales locales.","polinizadores-D07"
"el-banquete-del-hambre.md","El Banquete del Hambre","Organiza un 'Banquete del Hambre' donde los participantes reciben comidas según diferentes niveles de ingreso para reflexionar sobre la desigualdad.","Simulación de la desigualdad alimentaria.","hambre-A02"
"ubicacion-del-oceano.md","Ubicación del Océano","Identifica los cinco océanos principales y los mares en un mapa del mundo.","Identificación de océanos y mares.","oceano-A10"
